Curriculum,Stage,Condition,Seed,Train Groups,data_id,category,Iteration
rnd,2,default,284,na,rnd_284_default,0.23651342014350252,20000
adev,2,default,282,g2g1,adev_282_default,0.10856228327554014,20000
dev,2,default,283,g0g1,dev_283_default,0.2612636630231938,20000
rnd,1,default,282,na,rnd_282_default,0.18877005347593584,10000
dev,1,default,284,g0,dev_284_default,0.22898318654923938,10000
adev,1,default,284,g2,adev_284_default,0.11453037195611453,10000
adev,3,default,284,g2g1g0,adev_284_default,0.2302771855010661,30000
rnd,2,default,283,na,rnd_283_default,0.07346286931062018,20000
untrained,0,na,0,na,untrained_0_na,0.11099281341495874,0
adult,3,default,283,na,adult_283_default,0.24853333333333333,30000
dev,2,default,284,g0g1,dev_284_default,0.27258193445243806,20000
dev,2,default,282,g0g1,dev_282_default,0.2667556742323097,20000
adult,1,default,283,na,adult_283_default,0.11686232657417289,10000
dev,3,default,283,g0g1g2,dev_283_default,0.29698747000799786,30000
dev,3,default,282,g0g1g2,dev_282_default,0.30085197018104365,30000
adult,1,default,284,na,adult_284_default,0.1642267766835241,10000
rnd,1,default,283,na,rnd_283_default,0.11502535361622632,10000
adev,2,default,283,g2g1,adev_283_default,0.1155282817502668,20000
adult,3,default,282,na,adult_282_default,0.2080894092602448,30000
adult,2,default,283,na,adult_283_default,0.19545454545454546,20000
adult,3,default,284,na,adult_284_default,0.26899493468408425,30000
adev,3,default,283,g2g1g0,adev_283_default,0.2312400212879191,30000
adev,1,default,283,g2,adev_283_default,0.11822791566586603,10000
adult,2,default,284,na,adult_284_default,0.23380431884830713,20000
adult,1,default,282,na,adult_282_default,0.11259338313767342,10000
rnd,3,default,284,na,rnd_284_default,0.27105543710021324,30000
rnd,2,default,282,na,rnd_282_default,0.25753936482519346,20000
adev,1,default,282,g2,adev_282_default,0.11957390146471371,10000
adev,3,default,282,g2g1g0,adev_282_default,0.24241617881852048,30000
dev,3,default,284,g0g1g2,dev_284_default,0.3003467591357695,30000
adev,2,default,284,g2g1,adev_284_default,0.11401172083111348,20000
adult,2,default,282,na,adult_282_default,0.11596907491335644,20000
rnd,3,default,283,na,rnd_283_default,0.21907560780122895,30000
rnd,1,default,284,na,rnd_284_default,0.11728723404255319,10000
dev,1,default,283,g0,dev_283_default,0.21228304405874499,10000
rnd,3,default,282,na,rnd_282_default,0.28125833111170356,30000
dev,1,default,282,g0,dev_282_default,0.21156408206767918,10000
